feature,mean_abs_shap,rank
proteome_length,1.7795198,1
PF00077,1.295064,2
perc_prot_disorder,1.2517813,3
SSF100920,1.1901278,4
PF05515,0.49174312,5
PF07028,0.37771377,6
PF03716,0.3244523,7
SSF50630,0.31126404,8
G3DSA.2.60.120.590,0.29882184,9
PF17917,0.2645713,10
PF00098,0.24272346,11
SSF52540,0.22476904,12
G3DSA.4.10.60.10,0.20360157,13
G3DSA.3.30.420.40,0.18787819,14
PF01660,0.16285923,15
PF03225,0.14141314,16
PF05892,0.13140897,17
PF13532,0.123973124,18
PF01443,0.091847256,19
PF01107,0.09124628,20
PF00680,0.07855118,21
G3DSA.2.40.70.10,0.0739309,22
G3DSA.3.90.640.10,0.07265637,23
SSF50494,0.07113184,24
G3DSA.3.30.70.270,0.057768956,25
PF01524,0.050279476,26
PF01785,0.048729166,27
G3DSA.3.10.10.10,0.046087157,28
G3DSA.3.10.20.370,0.042137828,29
PF00978,0.036771853,30
G3DSA.2.70.40.10,0.03109284,31
PF00286,0.029269911,32
SSF57756,0.027909184,33
G3DSA.3.40.50.300,0.026432155,34
PF01407,0.02244608,35
PF00845,0.018080002,36
SSF51197,0.017876988,37
G3DSA.3.30.30.30,0.0107973255,38
PF00692,0.009843418,39
SSF56672,0.009203138,40
PF01492,0.0088462895,41
PF00799,0.008206575,42
PF01307,0.006875719,43
PF17919,0.006809801,44
SSF88633,0.0066865,45
G3DSA.3.40.1310.20,0.00659827,46
PF17646,0.004701975,47
PF08283,0.0038243302,48
SSF51283,0.001133545,49
PF00073,0.0,50
G3DSA.3.90.950.10,0.0,51
G3DSA.3.90.70.150,0.0,52
G3DSA.3.90.70.100,0.0,53
G3DSA.3.90.226.10,0.0,54
G3DSA.3.90.550.20,0.0,55
G3DSA.3.40.50.150,0.0,56
PF00012,0.0,57
G3DSA.3.90.70.80,0.0,58
G3DSA.1.20.272.60,0.0,59
G3DSA.1.10.1200.170,0.0,60
G3DSA.1.10.1520.10,0.0,61
G3DSA.1.20.1440.190,0.0,62
G3DSA.1.20.120.70,0.0,63
G3DSA.2.60.120.220,0.0,64
G3DSA.2.60.120.20,0.0,65
G3DSA.2.60.120.170,0.0,66
G3DSA.2.60.110.10,0.0,67
G3DSA.2.40.10.10,0.0,68
G3DSA.1.20.960.20,0.0,69
G3DSA.1.20.85.20,0.0,70
G3DSA.1.20.58.1200,0.0,71
G3DSA.1.20.120.1590,0.0,72
G3DSA.3.30.505.20,0.0,73
G3DSA.2.60.34.10,0.0,74
G3DSA.3.30.70.2090,0.0,75
G3DSA.2.60.40.4030,0.0,76
G3DSA.2.60.40.3420,0.0,77
G3DSA.2.60.40.1810,0.0,78
G3DSA.2.60.40.1780,0.0,79
PF01573,0.0,80
PF01440,0.0,81
PF00894,0.0,82
PF00863,0.0,83
PF00910,0.0,84
PF00946,0.0,85
PF00983,0.0,86
PF00998,0.0,87
PF00851,0.0,88
PF00078,0.0,89
PF00721,0.0,90
PF00729,0.0,91
PF00767,0.0,92
PF00760,0.0,93
PF00803,0.0,94
PF00844,0.0,95
PF00270,0.0,96
PF00271,0.0,97
PF00548,0.0,98
G3DSA.2.60.120.530,0.0,99
G3DSA.3.40.91.60,0.0,100
G3DSA.3.40.970.10,0.0,101
G3DSA.3.40.50.2000,0.0,102
PF01690,0.0,103
PF01725,0.0,104
PF01787,0.0,105
PF02122,0.0,106
PF02123,0.0,107
PF02160,0.0,108
PF01693,0.0,109
PF01708,0.0,110
PF01623,0.0,111
PF03689,0.0,112
PF03688,0.0,113
PF03558,0.0,114
PF04196,0.0,115
PF04530,0.0,116
PF04660,0.0,117
PF04521,0.0,118
PF04522,0.0,119
PF04817,0.0,120
PF04851,0.0,121
PF04876,0.0,122
PF05310,0.0,123
PF05318,0.0,124
PF05379,0.0,125
PF04662,0.0,126
PF01577,0.0,127
PF02407,0.0,128
PF02495,0.0,129
PF03171,0.0,130
PF03033,0.0,131
PF03216,0.0,132
PF03220,0.0,133
PF03231,0.0,134
PF03233,0.0,135
PF03251,0.0,136
PF03300,0.0,137
PF03310,0.0,138
PF03391,0.0,139
PF03557,0.0,140
PF02247,0.0,141
PF02248,0.0,142
PF01659,0.0,143
PF06656,0.0,144
PF06380,0.0,145
PF06370,0.0,146
PF06358,0.0,147
PF05903,0.0,148
PF05880,0.0,149
PF05744,0.0,150
PF05733,0.0,151
PF05533,0.0,152
PF05704,0.0,153
PF05629,0.0,154
PF05549,0.0,155
PF05414,0.0,156
PF05415,0.0,157
PF05381,0.0,158
PF05413,0.0,159
PF04807,0.0,160
PF10712,0.0,161
PF08500,0.0,162
PF06837,0.0,163
PF07124,0.0,164
