feature,mean_abs_shap,rank
proteome_length,0.7597467453291116,1
SSF56672,0.6296709541340608,2
SSF88633,0.38987893888691333,3
perc_prot_disorder,0.37903951792573737,4
PF01660,0.22139033014654852,5
PF08283,0.22058477689738434,6
G3DSA.3.40.50.300,0.1984362879345872,7
PF01443,0.19701206337872496,8
SSF47195,0.1906711711225427,9
G3DSA.2.60.120.20,0.1461600482334105,10
PF00729,0.13675822804205237,11
SSF55464,0.13262908886467376,12
PF00978,0.10245266545938185,13
PF01307,0.09803510783934087,14
SSF52540,0.08103480968502642,15
SSF51197,0.06917264117909135,16
PF00721,0.0689870893957415,17
SSF103145,0.05728621083967286,18
PF00998,0.051963237592590986,19
G3DSA.3.30.70.270,0.049235053037101205,20
PF00844,0.048657539390069636,21
PF02495,0.04616114349555331,22
PF01107,0.03983963472443655,23
PF00270,0.03858529899902778,24
PF00012,0.036983914365601944,25
PF01573,0.03513378307990905,26
PF13608,0.03497884275726132,27
PF01407,0.034260013415027275,28
PF17917,0.030932124539612107,29
PF08464,0.030696709219598505,30
G3DSA.2.60.40.3420,0.030154936976461356,31
PF01690,0.028537041065008584,32
PF02248,0.02774151517125945,33
PF00548,0.026864373450142275,34
PF00680,0.025388432224443248,35
PF01787,0.02375686284392861,36
SSF57756,0.023205845166459037,37
G3DSA.2.60.120.590,0.02213554516957168,38
PF05318,0.021423806083269662,39
PF00078,0.020489916403116645,40
PF07652,0.019852770462264243,41
PF13532,0.01893470117663447,42
PF03220,0.018365792185267963,43
PF08500,0.01794534612501911,44
G3DSA.3.40.1310.20,0.01754156952960812,45
SSF50630,0.01674397386031585,46
PF05381,0.016494030739834624,47
SSF100920,0.01638933350816874,48
PF00799,0.016172901377501877,49
G3DSA.3.90.70.100,0.014424545344271527,50
PF00803,0.013526217819659916,51
PF00863,0.012584379598885727,52
PF00286,0.012292129417941423,53
PF00098,0.012163323744673547,54
G3DSA.3.90.640.10,0.012071652388691543,55
G3DSA.2.40.70.10,0.012062845594421832,56
PF00851,0.01183672777904083,57
PF01659,0.011652933465149985,58
SSF53067,0.01155523127861728,59
PF02122,0.011200424153574392,60
G3DSA.1.20.85.20,0.01101208767014852,61
PF03688,0.010326462396937066,62
PF08440,0.009524146918094336,63
PF00767,0.009152111519352822,64
G3DSA.3.30.420.40,0.009068565693783868,65
PF00910,0.00903101295251441,66
PF03251,0.008950481137595317,67
G3DSA.2.60.40.4030,0.008781760384225923,68
PF07028,0.008444903254832414,69
G3DSA.2.60.40.1810,0.008095714185093325,70
PF08358,0.007850099752498282,71
PF00077,0.0076874470393456,72
PF01785,0.007576750299006556,73
PF04807,0.0072172538148550635,74
PF00983,0.007011763577368751,75
G3DSA.3.10.20.370,0.006800882712179019,76
G3DSA.1.20.120.70,0.006726147288080527,77
PF03225,0.006485012560883251,78
PF01492,0.006302081227000034,79
G3DSA.3.40.50.2000,0.006246234432433835,80
PF05379,0.00529562157854911,81
PF03716,0.005197461251641031,82
PF08456,0.005192787339628771,83
PF04662,0.005028846504267791,84
PF01623,0.004820146848805982,85
PF01577,0.004721484270457811,86
PF02247,0.004625881725269231,87
PF04521,0.004353623596947759,88
PF01524,0.0036501039191300074,89
PF04530,0.0035668265560221896,90
G3DSA.2.40.10.10,0.00346560676741777,91
PF17493,0.0032740076487628184,92
PF04522,0.0032739196493988955,93
PF00894,0.003231494513906572,94
PF05515,0.0032095604825803105,95
PF03558,0.0031871865950985675,96
PF01708,0.0031322260486827858,97
PF05549,0.003083404328575257,98
SSF50494,0.0030349994770049954,99
PF05892,0.0029161726569699687,100
SSF53756,0.0028600950020543046,101
PF03391,0.002808692706554415,102
PF12467,0.002738748212496769,103
SSF53448,0.00260163841692365,104
PF00845,0.002550529230130777,105
PF13611,0.0024659599573963954,106
PF01440,0.0021569879272787585,107
PF02160,0.00199650816618828,108
PF01693,0.0017063645083692897,109
PF08467,0.0017049421422780347,110
G3DSA.3.10.10.10,0.0015415760601631846,111
PF17919,0.0014831695059603662,112
PF02123,0.0014719153984124093,113
PF13365,0.0014205382970126914,114
G3DSA.3.90.550.20,0.0013063882491509383,115
PF12312,0.001210397919336448,116
PF14318,0.0011497035740613893,117
PF17646,0.001058079304091609,118
PF04817,0.0009231295105588933,119
SSF55658,0.0009132387351923482,120
G3DSA.1.20.960.20,0.0008409945638724718,121
PF01725,0.0007875748233846594,122
PF05533,0.0007768174368507377,123
PF12503,0.0006873856852164431,124
PF05415,0.000685180575941156,125
G3DSA.3.30.70.2090,0.0006756435888903412,126
G3DSA.2.60.120.220,0.0006435213336236424,127
PF03689,0.0006386845360694161,128
PF05629,0.0005241183470551927,129
SSF52972,0.0005190836362683075,130
PF10712,0.00046394476623211426,131
PF04196,0.0004618965776580386,132
PF00760,0.0004341571200828853,133
PF00946,0.0004242208767187707,134
G3DSA.2.60.40.1780,0.00041668266584065435,135
PF05704,0.000393623413910842,136
SSF51283,0.0003884357761972941,137
PF06692,0.00033394346470709877,138
PF03216,0.00032187564630779965,139
PF05310,0.0003209678830426655,140
PF05880,0.0003127828807161635,141
PF03233,0.0003101266049014172,142
PF06370,0.0002866256596028277,143
PF04660,0.0002617823500226184,144
PF12523,0.00021650826159252658,145
G3DSA.3.90.950.10,0.00020151353744884731,146
PF11757,0.00017157698684117204,147
PF03171,0.00016383316849397588,148
PF03300,0.00015699328793800302,149
PF07255,0.00015642988802693644,150
G3DSA.2.60.120.530,0.00013194264955660953,151
G3DSA.2.70.40.10,0.00012120567871989469,152
PF03231,0.00011748303226586645,153
PF06837,7.03894179966312e-05,154
PF05744,6.48750978393479e-05,155
PF06656,6.461085153117971e-05,156
PF05414,4.09492433834546e-05,157
PF11252,4.014677796220349e-05,158
SSF49870,3.8725955287032474e-05,159
PF05413,3.5945747469015674e-05,160
G3DSA.2.60.120.170,3.145649226041582e-05,161
G3DSA.3.30.505.20,3.0420837005968306e-05,162
