feature,mean_abs_shap,rank
proteome_length,1.020585341137315,1
perc_prot_disorder,0.7102855794757769,2
PF01577,0.34085601205396165,3
PF00998,0.33001662865789166,4
PF08456,0.31301659804277415,5
SSF52540,0.29226836715947124,6
PF00729,0.24799236451632725,7
PF08500,0.23768101588385043,8
SSF88633,0.21323075911185238,9
SSF47195,0.21190967544309566,10
G3DSA.2.60.40.4030,0.2079112154995834,11
PF00721,0.18413307534223275,12
G3DSA.3.40.50.300,0.18406979119144576,13
SSF56672,0.1834691221161961,14
G3DSA.2.60.120.20,0.17410578627085613,15
PF01107,0.16640860570025393,16
PF01660,0.14365190558377908,17
PF13608,0.14255049757313593,18
SSF55464,0.12486829162074162,19
PF04521,0.1077861394517513,20
SSF51197,0.10505102452107956,21
PF00910,0.10194438897553088,22
PF00851,0.08268190329076881,23
PF00270,0.07816021711792212,24
PF00803,0.0710205739700608,25
SSF50494,0.06656555782781216,26
PF01443,0.06195682379889302,27
G3DSA.3.40.1310.20,0.0618224741731955,28
PF08283,0.06114092094078452,29
PF04807,0.05392693337035593,30
PF00286,0.05067743276380303,31
PF00799,0.05008759513946038,32
PF05318,0.04891786575042276,33
PF07652,0.04767919175185874,34
PF04196,0.04407079839507319,35
G3DSA.3.90.70.150,0.04340578710260134,36
PF13611,0.042797976048713965,37
PF00844,0.03891072383354528,38
PF01440,0.03644139793459594,39
PF02495,0.03518797670636982,40
PF01407,0.03333734349599808,41
PF01573,0.02924232773931282,42
SSF53067,0.02819753598468537,43
PF03558,0.026081663771799834,44
G3DSA.3.30.70.270,0.025764133789327463,45
SSF50630,0.025015265361053692,46
PF00978,0.024650755261626137,47
PF08440,0.02409035219270038,48
PF00680,0.023615103814935506,49
PF08464,0.022626294193145376,50
PF04522,0.020295280134255564,51
PF01787,0.02011354620922398,52
PF00845,0.018673311008616675,53
PF00863,0.018421190982712263,54
G3DSA.2.60.120.220,0.017619337866696807,55
PF01785,0.016633493002829944,56
SSF100920,0.016418519128429298,57
PF00078,0.01582752572414251,58
PF01492,0.015494953017714195,59
PF00767,0.013930417374777222,60
PF17917,0.013638329630607474,61
G3DSA.3.40.50.2000,0.013622117717434622,62
PF03225,0.012970723395351918,63
PF00012,0.012426904745070752,64
G3DSA.1.20.85.20,0.012231516666898595,65
G3DSA.3.90.70.100,0.010589553265067204,66
G3DSA.2.40.10.10,0.010469101743394634,67
PF04530,0.010349333524449354,68
SSF53448,0.010133297624030419,69
SSF53756,0.00976516661196878,70
PF00077,0.009761633281670788,71
PF14318,0.009434051573242551,72
G3DSA.3.10.20.370,0.00922328416564214,73
PF00983,0.008493643425718412,74
PF06692,0.008402105811681606,75
PF01307,0.008085127125660323,76
G3DSA.3.90.640.10,0.007897138432757612,77
G3DSA.3.30.420.40,0.007469721661763421,78
PF00946,0.007226184082652026,79
PF17493,0.007211598268765304,80
PF02123,0.006797711390294062,81
G3DSA.2.60.120.590,0.006665328329532932,82
PF03688,0.0066221806062738255,83
PF01659,0.005985962200631178,84
SSF57756,0.005458351456132286,85
PF03391,0.005265662010604689,86
PF00894,0.005147507451917102,87
PF06358,0.004184177650904733,88
G3DSA.1.20.960.20,0.00412550470293147,89
PF03220,0.003959610055882731,90
PF03689,0.003346319218580614,91
PF01690,0.0030685727095021457,92
PF04851,0.0027752487083748793,93
G3DSA.3.30.30.30,0.002758988837365691,94
PF01524,0.00275073354537073,95
PF17646,0.0027186373589893355,96
PF05379,0.002709418554853795,97
PF04660,0.0026605197535368086,98
G3DSA.2.60.40.1810,0.002631525709203543,99
PF05415,0.002568099406218093,100
SSF103145,0.00251995170956959,101
PF01623,0.002272246224131542,102
PF00098,0.00220896386415656,103
PF00548,0.0021996153070101606,104
PF06370,0.002087813151023384,105
PF04876,0.0019577305925384775,106
PF17055,0.0019396089716346918,107
PF08467,0.0019375221256576094,108
PF12467,0.0019130850634076024,109
PF05381,0.0018220141959985488,110
PF03300,0.001543049484602695,111
PF03716,0.0014936645229433226,112
PF02407,0.0014586670430407863,113
PF12503,0.0012873879120083094,114
PF05733,0.0011190454451501502,115
PF01693,0.0010698275345539978,116
PF05704,0.001068993118777705,117
PF04662,0.0010406198945934705,118
G3DSA.4.10.60.10,0.0010094848903088862,119
PF02247,0.0009519392800726186,120
PF05310,0.0008913554129965938,121
PF03216,0.0008745684237252169,122
G3DSA.1.20.120.70,0.0008728579253334386,123
PF07028,0.0008128261078198296,124
PF12312,0.0007950406089715331,125
PF06837,0.0007628098485845986,126
PF15518,0.0007478708760302041,127
PF02160,0.0005673991539040052,128
SSF52972,0.0005666569847811337,129
G3DSA.3.30.70.2090,0.0005503313897673794,130
PF04817,0.0005426530847873995,131
PF03251,0.00045891093396963073,132
PF11757,0.00044145844025146,133
PF07436,0.0003909854698666795,134
PF02248,0.0003446016938491334,135
PF10712,0.0003433575351741849,136
PF03231,0.0003418305023768148,137
PF05533,0.0003348341874831315,138
PF17919,0.0003183769006830836,139
G3DSA.2.60.40.3420,0.00029560008884218727,140
PF05880,0.00029207358442157977,141
G3DSA.3.90.70.80,0.0002668636312615463,142
PF00760,0.00023325247002839499,143
G3DSA.1.20.1440.190,0.0002281265142957113,144
PF12603,0.00020794029953018526,145
G3DSA.3.40.970.10,0.00019665425446455014,146
PF01725,0.00019096747548941193,147
SSF51283,0.00018434221977292048,148
SSF55658,0.00014832659286555835,149
PF05413,0.00012568285893619128,150
G3DSA.1.20.120.1590,0.00011452290272907355,151
PF03171,0.00010970680386829919,152
PF03233,0.00010762287991927576,153
PF05515,0.00010537076420319345,154
G3DSA.2.60.120.530,0.00010169682998592283,155
PF11479,9.505412231131352e-05,156
G3DSA.3.40.50.150,8.556066074262103e-05,157
PF11252,7.71966520846818e-05,158
G3DSA.2.60.34.10,6.324687344475862e-05,159
G3DSA.2.70.40.10,6.204390520341422e-05,160
PF05549,5.719207603183824e-05,161
SSF48345,4.7265927349328075e-05,162
SSF54423,3.811792595575672e-05,163
SSF54001,3.759916133891904e-05,164
PF06380,3.707591781750751e-05,165
SSF49818,3.0084747634439362e-05,166
G3DSA.3.40.91.60,2.940645654475118e-05,167
SSF52096,2.2900288171438122e-05,168
PF00073,1.9993645668725055e-05,169
SSF69065,1.4549277654861917e-05,170
PF06839,9.884401827630285e-06,171
SSF56831,9.565312587975932e-06,172
G3DSA.2.60.40.1780,9.485746289941006e-06,173
PF13365,9.199329623725299e-06,174
G3DSA.3.90.226.10,7.463374977146409e-06,175
PF17464,6.5050556447670716e-06,176
PF00692,0.0,177
G3DSA.3.90.550.20,0.0,178
G3DSA.3.90.950.10,0.0,179
G3DSA.3.30.505.20,0.0,180
PF00271,0.0,181
G3DSA.2.60.120.170,0.0,182
G3DSA.2.60.110.10,0.0,183
G3DSA.1.20.58.1200,0.0,184
G3DSA.1.20.272.60,0.0,185
G3DSA.1.10.1200.170,0.0,186
G3DSA.1.10.1520.10,0.0,187
G3DSA.2.40.70.10,0.0,188
G3DSA.3.10.10.10,0.0,189
PF01708,0.0,190
PF03033,0.0,191
PF06656,0.0,192
PF05744,0.0,193
PF05892,0.0,194
PF05903,0.0,195
PF05414,0.0,196
PF05629,0.0,197
PF03310,0.0,198
PF03557,0.0,199
PF02122,0.0,200
PF12523,0.0,201
PF13532,0.0,202
PF08358,0.0,203
PF07325,0.0,204
PF07255,0.0,205
PF07124,0.0,206
SSF49870,0.0,207
