feature,mean_abs_shap,rank
proteome_length,1.335041,1
perc_prot_disorder,0.95803535,2
PF00978,0.18683775,3
G3DSA.2.60.120.20,0.11592552,4
SSF52540,0.115307614,5
PF03716,0.1073328,6
PF08358,0.09360662,7
G3DSA.2.60.120.590,0.09208779,8
G3DSA.3.40.50.300,0.081172675,9
G3DSA.3.30.30.30,0.08060456,10
PF01660,0.08001768,11
SSF88633,0.07295236,12
PF01577,0.06615242,13
SSF56672,0.06270187,14
PF00998,0.062442742,15
G3DSA.3.30.70.270,0.05868088,16
PF01407,0.054411616,17
SSF50494,0.052245792,18
PF00910,0.05101785,19
PF00803,0.04841591,20
PF01107,0.048369437,21
G3DSA.3.90.70.150,0.044073444,22
G3DSA.3.40.1310.20,0.043534055,23
G3DSA.1.20.120.70,0.043165874,24
G3DSA.2.40.70.10,0.040804844,25
PF07028,0.039303526,26
PF05892,0.038343035,27
PF13611,0.036983103,28
PF05379,0.03636447,29
PF00270,0.03370264,30
PF01443,0.033547774,31
PF03689,0.03328001,32
PF00680,0.032854926,33
PF01492,0.028115429,34
PF07652,0.025018947,35
PF04662,0.022829022,36
PF04196,0.022562582,37
PF00799,0.022367276,38
PF08467,0.021137558,39
PF01785,0.020950327,40
PF00729,0.020474495,41
PF02160,0.020078035,42
PF02122,0.019728882,43
PF02123,0.019334203,44
PF01307,0.017914195,45
SSF57756,0.01764643,46
PF00286,0.017124629,47
G3DSA.1.20.85.20,0.016458837,48
PF00098,0.01461087,49
PF05515,0.013761355,50
PF12503,0.013306389,51
PF03225,0.012650761,52
PF01440,0.012238071,53
G3DSA.3.40.50.150,0.011839249,54
G3DSA.2.40.10.10,0.011455541,55
PF03391,0.011146733,56
SSF49870,0.010809626,57
PF08464,0.010666401,58
PF00845,0.01028874,59
SSF51197,0.009780236,60
G3DSA.2.60.40.1810,0.009612098,61
PF00077,0.0093404725,62
PF02495,0.009196118,63
PF00721,0.008773656,64
PF05413,0.008588428,65
