feature,mean_abs_shap,rank
proteome_length,1.58470508774323,1
SSF56672,1.3306422474144721,2
perc_prot_disorder,0.4303470067516897,3
PF04876,0.39967884904464795,4
G3DSA.3.40.50.300,0.3675290387520908,5
SSF52540,0.26286351368629685,6
PF05310,0.18148018249190667,7
SSF50494,0.17296800414833594,8
PF01443,0.1662939522848193,9
PF03300,0.1571773832733028,10
PF00844,0.149260435793501,11
PF05903,0.13579490416159656,12
PF14318,0.13392296836697956,13
SSF55464,0.12954087280803853,14
G3DSA.3.30.70.270,0.11281356669134275,15
PF05880,0.11141342719709928,16
PF06837,0.10002195483131768,17
G3DSA.1.20.1440.190,0.0971653157685939,18
PF17055,0.09448066870477405,19
PF00799,0.09224698223425037,20
PF08464,0.06362167237833347,21
PF00680,0.06328745065056054,22
PF06656,0.061851128967229684,23
G3DSA.3.40.1310.20,0.05937009987476583,24
PF00851,0.058367427464015756,25
PF01660,0.056587247085941206,26
PF04807,0.055229767503168006,27
PF04196,0.05105986032530909,28
PF08283,0.04772193387648106,29
PF05733,0.04768480518017809,30
PF00946,0.0468217374136511,31
PF00978,0.04569642831190765,32
PF13608,0.044513440270489,33
SSF88633,0.04250927317004148,34
PF01407,0.0422838514662077,35
PF01440,0.03569587071274184,36
PF01492,0.034156799377061633,37
PF03216,0.031958490097361306,38
G3DSA.1.20.120.1590,0.024979044455323618,39
PF12603,0.02104221984525597,40
SSF53067,0.019170158701953734,41
PF01107,0.018142774076233766,42
PF00998,0.0152210824083909,43
SSF57756,0.014246474164803591,44
G3DSA.3.90.70.80,0.01346642551030639,45
PF01307,0.01296252128654406,46
PF02495,0.012504255313236783,47
PF00721,0.012359394935859795,48
PF00863,0.010317884649068776,49
SSF50630,0.009696834593334565,50
G3DSA.2.40.10.10,0.009610574996404223,51
PF03231,0.00921204856778936,52
PF00767,0.009177285029553213,53
PF01785,0.008902460365900094,54
PF05629,0.00858044861085467,55
PF08440,0.008451352722332413,56
PF01524,0.008217547080160594,57
PF02407,0.00783806365590063,58
G3DSA.3.10.20.370,0.006647090374853924,59
PF00078,0.0063503111238544475,60
PF03689,0.0056953655771061085,61
PF01577,0.004921152641071331,62
PF02123,0.004841881830475313,63
PF00270,0.004570123495382174,64
SSF47195,0.004512737690834328,65
G3DSA.2.60.120.20,0.004442657859326376,66
PF03557,0.003941847010011641,67
G3DSA.2.40.70.10,0.0037238493038130875,68
SSF51197,0.0036570223471204056,69
SSF53448,0.0034641317050420105,70
PF00894,0.0034443904169263683,71
PF03688,0.0033282733377562944,72
G3DSA.3.40.50.2000,0.0033072051270607705,73
PF02248,0.0032095555274867867,74
PF04660,0.003178580211104216,75
G3DSA.4.10.60.10,0.002906357123275241,76
PF01659,0.00288119504727606,77
PF02247,0.002694687365381421,78
G3DSA.3.30.70.2090,0.0026763810474890047,79
PF08456,0.0025656901299365748,80
PF01690,0.002472178481856837,81
PF03716,0.0024463534349417676,82
PF15518,0.0021857720791785052,83
G3DSA.3.90.70.150,0.0020950025760963623,84
PF01787,0.002085573449559431,85
PF03391,0.002063659731701473,86
SSF51283,0.0019322303557271431,87
PF00271,0.0018776418954839615,88
G3DSA.3.90.550.20,0.0017712093009202906,89
PF08358,0.0017125464989559583,90
PF05379,0.0016933495394948314,91
PF17919,0.0013514163321550379,92
G3DSA.1.20.120.70,0.0013489930814567916,93
G3DSA.3.90.70.100,0.0013411650382646168,94
PF08467,0.0013154923382077094,95
SSF53756,0.0012745699814308436,96
SSF103145,0.0012382075711173059,97
PF07652,0.001144403634924258,98
G3DSA.2.60.120.590,0.0011181591634558353,99
PF03225,0.0011178537996886743,100
PF00077,0.0010970410422915867,101
SSF48345,0.0010149825681790925,102
PF13532,0.0009391191747585573,103
SSF52972,0.0009330077072665216,104
PF05704,0.0009282098053027022,105
SSF100920,0.0008648049658125531,106
SSF56831,0.0008452573607493686,107
PF06370,0.0008138789052108409,108
PF02160,0.0008123459221420552,109
PF00098,0.0007465162217164413,110
PF03171,0.0007268895170013156,111
SSF49818,0.0006333267028674007,112
PF17464,0.0006187956739226432,113
PF07124,0.0005749355760778297,114
PF01573,0.0005731799330432123,115
PF00548,0.0005664957961993278,116
PF01623,0.0005595685440459214,117
G3DSA.2.60.120.170,0.0005380316099172306,118
PF04522,0.00048687129401009583,119
PF12312,0.00047610156175032794,120
PF07325,0.00043626910231549547,121
G3DSA.1.20.85.20,0.0003983024186823693,122
PF00983,0.0003976907454849362,123
PF02122,0.000390954945444085,124
PF17646,0.00037858989259840136,125
PF00286,0.0003380708190634506,126
PF13611,0.0003260875861829469,127
SSF54423,0.00032087932414511287,128
G3DSA.1.20.960.20,0.0003139949062824855,129
PF01693,0.0002764345672188882,130
PF00692,0.0002700122118159878,131
PF11757,0.00025989257990232056,132
PF03558,0.0002082018173736366,133
PF04662,0.0001856994481372272,134
PF04521,0.0001728481370315073,135
G3DSA.3.40.970.10,0.0001628243600478765,136
PF04530,0.00016033822865516316,137
PF05892,0.00014784389691458821,138
PF04817,0.00013047759964571998,139
PF05533,0.00012605227954183774,140
SSF49870,0.00011979099681168195,141
PF03251,0.000108628935626534,142
SSF52096,0.00010183961968743444,143
SSF55658,9.690135233479478e-05,144
PF05515,9.231402979619828e-05,145
PF10712,8.489533944077402e-05,146
PF12523,8.379073353079625e-05,147
PF03233,7.508677935412557e-05,148
PF00073,6.59844687437052e-05,149
G3DSA.2.70.40.10,6.57324039470515e-05,150
PF00760,6.346002519479603e-05,151
G3DSA.2.60.40.4030,5.772729164029563e-05,152
G3DSA.2.60.40.1780,4.823246875724273e-05,153
G3DSA.3.40.91.60,4.323677308776721e-05,154
PF11479,4.2422301842137766e-05,155
PF11252,4.0578143736870974e-05,156
G3DSA.2.60.120.220,3.226518881732635e-05,157
PF05414,2.861985780454639e-05,158
PF12467,2.7982579425384836e-05,159
PF00845,2.6212764754095776e-05,160
SSF54001,2.356706805955654e-05,161
PF06839,1.6367028737835416e-05,162
PF07255,1.3551405189608877e-05,163
PF04851,1.2558300925056172e-05,164
PF05413,8.459185302470123e-06,165
G3DSA.3.90.226.10,6.101132424926062e-06,166
PF05415,5.069461571397338e-06,167
PF05744,3.832937419693372e-06,168
PF06380,3.1356616713768004e-06,169
PF06692,2.844323117227665e-06,170
PF03033,2.031659167258264e-06,171
G3DSA.3.40.50.150,1.1643789155648783e-06,172
G3DSA.1.20.58.1200,0.0,173
G3DSA.1.10.1520.10,0.0,174
G3DSA.1.20.272.60,0.0,175
PF00910,0.0,176
PF00803,0.0,177
PF00729,0.0,178
G3DSA.3.30.420.40,0.0,179
G3DSA.2.60.34.10,0.0,180
G3DSA.2.60.120.530,0.0,181
G3DSA.2.60.40.3420,0.0,182
G3DSA.2.60.40.1810,0.0,183
G3DSA.3.30.505.20,0.0,184
G3DSA.3.10.10.10,0.0,185
G3DSA.3.30.30.30,0.0,186
PF00012,0.0,187
G3DSA.3.90.950.10,0.0,188
