feature,mean_abs_shap,rank
perc_prot_disorder,1.9076457,1
proteome_length,1.7890822,2
G3DSA.2.60.120.20,0.72209746,3
SSF56672,0.52542573,4
G3DSA.3.40.50.300,0.35352567,5
SSF52540,0.2886871,6
PF01573,0.27071923,7
SSF88633,0.22923884,8
PF01443,0.15964517,9
G3DSA.4.10.60.10,0.12542596,10
PF03391,0.11773845,11
G3DSA.2.70.40.10,0.11582297,12
PF00270,0.1145874,13
SSF51197,0.10847538,14
PF00767,0.10798979,15
PF00978,0.09606451,16
PF00998,0.088907555,17
PF01107,0.08617016,18
PF01785,0.079992026,19
PF01407,0.07717773,20
G3DSA.3.30.70.270,0.07098294,21
PF00077,0.06962229,22
SSF50494,0.06329825,23
PF07652,0.060776636,24
PF00803,0.060645446,25
PF01787,0.059836235,26
PF01307,0.05703627,27
PF01660,0.053894404,28
PF04530,0.052537423,29
G3DSA.2.40.10.10,0.05113982,30
PF03688,0.049417205,31
G3DSA.2.60.120.590,0.048703954,32
PF07028,0.0479807,33
PF00548,0.043997217,34
G3DSA.3.10.10.10,0.04234095,35
PF00286,0.04028222,36
G3DSA.1.20.120.70,0.037911054,37
SSF47195,0.037502736,38
PF00692,0.036687795,39
PF13608,0.0346996,40
PF00721,0.033915017,41
PF12312,0.025054632,42
PF00680,0.023808248,43
PF05892,0.021037161,44
PF02122,0.02053684,45
PF05318,0.0166646,46
PF00863,0.016615737,47
PF02247,0.01477483,48
PF02495,0.014134812,49
PF00271,0.013206286,50
G3DSA.3.40.1310.20,0.013050254,51
G3DSA.2.60.40.1810,0.013032931,52
PF00910,0.012875965,53
PF00799,0.010786481,54
PF00729,0.0100995265,55
PF02123,0.009315206,56
PF00098,0.008618031,57
SSF100920,0.008588996,58
PF08500,0.008401903,59
PF03689,0.007632433,60
PF01577,0.0074854763,61
G3DSA.3.30.420.40,0.007293516,62
PF01440,0.0072534103,63
G3DSA.3.40.50.2000,0.0069426787,64
G3DSA.2.40.70.10,0.006232008,65
SSF51283,0.0062300838,66
SSF50630,0.0058888094,67
PF12467,0.0054598423,68
G3DSA.3.90.640.10,0.005077308,69
PF08456,0.004802355,70
PF03220,0.0046792417,71
PF02160,0.0041016717,72
PF00012,0.0037114236,73
G3DSA.1.20.85.20,0.0034126202,74
PF08358,0.0026313271,75
G3DSA.3.90.70.150,0.002522292,76
G3DSA.3.90.70.100,0.002310711,77
PF05379,0.0022173086,78
PF02248,0.001392799,79
G3DSA.3.30.30.30,0.0013574981,80
G3DSA.1.20.960.20,0.0012189617,81
PF17646,0.00087513635,82
PF13532,0.00056670344,83
PF00946,0.0003987725,84
PF01492,0.0,85
PF01524,0.0,86
PF00845,0.0,87
PF00078,0.0,88
G3DSA.3.90.226.10,0.0,89
G3DSA.3.40.970.10,0.0,90
G3DSA.3.40.91.60,0.0,91
G3DSA.3.40.50.150,0.0,92
G3DSA.3.90.70.80,0.0,93
G3DSA.3.90.950.10,0.0,94
PF00073,0.0,95
G3DSA.3.30.505.20,0.0,96
G3DSA.3.30.70.2090,0.0,97
G3DSA.3.10.20.370,0.0,98
G3DSA.2.60.120.530,0.0,99
G3DSA.2.60.40.1780,0.0,100
G3DSA.2.60.34.10,0.0,101
G3DSA.2.60.40.3420,0.0,102
G3DSA.2.60.40.4030,0.0,103
G3DSA.3.90.550.20,0.0,104
G3DSA.1.20.272.60,0.0,105
G3DSA.1.20.1440.190,0.0,106
G3DSA.1.20.120.1590,0.0,107
G3DSA.1.10.1200.170,0.0,108
G3DSA.2.60.110.10,0.0,109
G3DSA.2.60.120.170,0.0,110
G3DSA.2.60.120.220,0.0,111
G3DSA.1.20.58.1200,0.0,112
G3DSA.1.10.1520.10,0.0,113
PF00894,0.0,114
PF00983,0.0,115
PF00851,0.0,116
PF00760,0.0,117
PF00844,0.0,118
PF03300,0.0,119
PF04807,0.0,120
PF04662,0.0,121
PF04817,0.0,122
PF03310,0.0,123
PF04522,0.0,124
PF04660,0.0,125
PF04521,0.0,126
PF03716,0.0,127
PF03557,0.0,128
PF03558,0.0,129
PF01623,0.0,130
PF01659,0.0,131
PF02407,0.0,132
PF01693,0.0,133
PF03171,0.0,134
PF03033,0.0,135
PF03233,0.0,136
PF03231,0.0,137
PF03225,0.0,138
PF03251,0.0,139
PF01690,0.0,140
PF03216,0.0,141
PF01725,0.0,142
PF01708,0.0,143
PF06656,0.0,144
PF06380,0.0,145
PF06370,0.0,146
PF06358,0.0,147
PF05903,0.0,148
PF05880,0.0,149
PF05744,0.0,150
PF05733,0.0,151
PF05533,0.0,152
PF05704,0.0,153
PF05629,0.0,154
PF05549,0.0,155
PF05415,0.0,156
PF05515,0.0,157
PF05414,0.0,158
PF05413,0.0,159
PF04196,0.0,160
PF05381,0.0,161
PF04876,0.0,162
PF05310,0.0,163
PF04851,0.0,164
PF08464,0.0,165
PF08283,0.0,166
PF08440,0.0,167
PF08467,0.0,168
PF07325,0.0,169
PF07255,0.0,170
PF07124,0.0,171
PF07436,0.0,172
PF06692,0.0,173
PF06837,0.0,174
PF06839,0.0,175
PF17055,0.0,176
PF15518,0.0,177
PF14318,0.0,178
PF13611,0.0,179
PF12603,0.0,180
PF13365,0.0,181
PF12503,0.0,182
PF12523,0.0,183
PF11252,0.0,184
PF10712,0.0,185
PF11479,0.0,186
PF11757,0.0,187
SSF103145,0.0,188
PF17919,0.0,189
PF17493,0.0,190
PF17464,0.0,191
SSF52096,0.0,192
SSF48345,0.0,193
SSF49818,0.0,194
SSF49870,0.0,195
PF17917,0.0,196
SSF52972,0.0,197
SSF53067,0.0,198
SSF53448,0.0,199
SSF55464,0.0,200
SSF54423,0.0,201
SSF54001,0.0,202
SSF53756,0.0,203
SSF57756,0.0,204
SSF56831,0.0,205
SSF55658,0.0,206
SSF69065,0.0,207
