feature,mean_abs_shap,rank
proteome_length,0.5678148267542926,1
perc_prot_disorder,0.20760671859460517,2
SSF56672,0.1902907320545556,3
G3DSA.3.40.50.300,0.15168218380164028,4
SSF52540,0.10144522700429949,5
SSF88633,0.0927858275550025,6
PF00721,0.08375008705250239,7
G3DSA.2.60.120.20,0.07123994660109462,8
PF00998,0.06127043048419126,9
PF03558,0.050823344387226604,10
PF08283,0.050394538137766134,11
PF01690,0.04345442205893674,12
PF05318,0.03999255383093917,13
PF17917,0.03946243159932422,14
SSF47195,0.03630611384235586,15
PF00844,0.034509188575309435,16
PF00978,0.03359513262565192,17
PF01307,0.031462992773708495,18
PF00799,0.029865440773872706,19
SSF53067,0.029235458056605754,20
PF08358,0.02732925418060349,21
PF01785,0.02644623598015019,22
G3DSA.3.30.70.270,0.025273351527896386,23
PF01443,0.022173889439224496,24
SSF53756,0.02198868428437071,25
SSF57756,0.021675009985599722,26
PF08464,0.020707642217223824,27
PF00286,0.01967102955937209,28
PF00803,0.01932875665275581,29
PF11479,0.01898068695482675,30
PF00680,0.018867432089966184,31
SSF55464,0.01886661533215467,32
SSF51197,0.01856577446346044,33
PF04807,0.017027896399989462,34
PF00012,0.01672489563732267,35
PF00729,0.016643616895246353,36
SSF50494,0.016487789389094166,37
PF13608,0.016334919069295916,38
G3DSA.3.90.640.10,0.016232851042574346,39
PF01492,0.016124414989920424,40
G3DSA.3.40.50.2000,0.015811941743332437,41
PF01660,0.014991476768622898,42
SSF100920,0.01474559472322436,43
PF00767,0.01469071974557391,44
G3DSA.3.40.1310.20,0.014528431512670198,45
PF00894,0.014442785504604308,46
PF13532,0.014289476291777188,47
PF05549,0.014013065936410258,48
PF17919,0.012892082450035586,49
G3DSA.3.30.420.40,0.012505016022406421,50
G3DSA.1.20.960.20,0.012214978904776958,51
PF03689,0.012187328717543135,52
PF01708,0.011878139954458739,53
PF01659,0.01186319283956655,54
PF08500,0.010910569049179121,55
G3DSA.2.40.10.10,0.010759233212369544,56
SSF50630,0.01062420762787563,57
PF01787,0.010445333530057136,58
PF12312,0.010293358479790989,59
PF02123,0.009627977684485242,60
PF00845,0.009237803309091809,61
PF07028,0.008913045644251822,62
PF01577,0.00880187002674534,63
G3DSA.1.20.120.1590,0.008790544225682732,64
PF01407,0.008185501909231091,65
PF00983,0.008011630931470769,66
PF04817,0.007472312197387409,67
PF01107,0.007201096365457682,68
SSF53448,0.007046183356138489,69
