feature,mean_abs_shap,rank
SSF88633,1.1053918627035848,1
proteome_length,0.6354909019486038,2
perc_prot_disorder,0.6237263185072865,3
SSF56672,0.5338480811787821,4
PF00729,0.3889066423560246,5
SSF47195,0.17483244105831156,6
SSF51197,0.12051494365593833,7
SSF55464,0.09751129669499889,8
SSF52540,0.09084644749727991,9
PF00721,0.08186887051503808,10
PF00844,0.0808074866422712,11
PF01577,0.07911296248642839,12
G3DSA.1.20.85.20,0.07191493733907928,13
G3DSA.3.40.1310.20,0.06499240980764694,14
G3DSA.2.60.120.20,0.06282501969424954,15
PF00799,0.05947327800176514,16
PF08464,0.05879977856668443,17
G3DSA.3.40.50.300,0.05808261720570121,18
PF00998,0.052119526055446494,19
PF01443,0.05061475440293482,20
PF05318,0.04810346500642178,21
PF03689,0.04407881144809386,22
SSF53067,0.04133435772720052,23
PF00286,0.04077353023576765,24
SSF103145,0.03961380126589654,25
PF08500,0.03867374167724828,26
PF03558,0.038078095708792774,27
PF04851,0.033447366553847384,28
PF01492,0.03244637085051639,29
PF08283,0.03205584417884476,30
PF01573,0.02926934901428403,31
PF00078,0.026690755325549587,32
SSF50494,0.02313805731921427,33
G3DSA.3.30.70.270,0.022899186835346075,34
PF03220,0.022718253759457564,35
G3DSA.3.10.20.370,0.022308758222209218,36
G3DSA.1.20.120.70,0.021979273281168655,37
PF00012,0.02154167039333215,38
G3DSA.2.60.120.590,0.02145987922390419,39
PF01407,0.020871824876617782,40
PF12312,0.02033530652025436,41
PF04662,0.019798486297089163,42
PF04521,0.019467754952745123,43
PF17493,0.018707923270966948,44
PF02122,0.018453128972505874,45
PF01787,0.017922601868291393,46
PF01107,0.016755170901792515,47
SSF50630,0.015868115900483426,48
SSF57756,0.015866896283180967,49
PF00863,0.015776324027813565,50
PF04530,0.015241814370152287,51
PF01307,0.015239647167437037,52
G3DSA.3.90.640.10,0.01413411625255372,53
PF00845,0.014122144473519106,54
PF00767,0.014110301730906319,55
PF04522,0.013651648512626431,56
SSF53756,0.012896116335582767,57
PF13611,0.012733770506014194,58
PF17917,0.012297178540735755,59
PF01660,0.011294370805996606,60
PF00271,0.01108778540360978,61
PF00851,0.010867506215350603,62
PF01440,0.010844790728311697,63
PF13608,0.010799082734262368,64
PF05381,0.010719281088930483,65
PF00803,0.010465588841398784,66
PF08358,0.010452697779195587,67
G3DSA.3.30.420.40,0.009420203534750175,68
PF05415,0.009343936327841983,69
PF00978,0.009266435035230093,70
PF12467,0.00922467158470822,71
SSF100920,0.009087003755973988,72
PF01690,0.008063520359572944,73
PF00270,0.007792332131995495,74
PF08456,0.007541037350799714,75
PF00548,0.007535594614950951,76
PF00680,0.007249022528176432,77
G3DSA.3.40.50.2000,0.007137452280365406,78
PF01785,0.0069572074845118655,79
G3DSA.3.30.30.30,0.006878805868724351,80
PF00077,0.006824591902893366,81
PF00894,0.006810562364569655,82
PF01623,0.006511749496040203,83
PF00760,0.0063605507185807405,84
PF00098,0.006353455281744646,85
G3DSA.2.60.120.220,0.006254583370089126,86
G3DSA.3.90.70.100,0.006059615041708436,87
PF13532,0.005967912012423427,88
PF08440,0.005722504990617745,89
G3DSA.2.60.40.1810,0.005453220597152311,90
PF07652,0.00504535324150861,91
G3DSA.2.40.10.10,0.00504454747115779,92
PF00983,0.004930105495520571,93
PF02247,0.004751774417555343,94
PF07028,0.004710230562634402,95
PF06692,0.004044598148724254,96
PF17646,0.00394988927713978,97
PF00910,0.0038797227878545055,98
PF03688,0.0038635808808085022,99
PF02123,0.00343437192002714,100
PF01659,0.00331082900388414,101
PF04807,0.0033000409888843947,102
G3DSA.1.20.960.20,0.0032108348498916237,103
SSF53448,0.0030877325211837725,104
PF14318,0.003084130110145726,105
PF05892,0.0028008767084482743,106
G3DSA.2.60.40.4030,0.00262150424093069,107
PF03391,0.0025579990608536494,108
PF01708,0.0024239389072164747,109
PF05704,0.0022957513819200216,110
PF02248,0.0022734427332847724,111
G3DSA.2.60.120.530,0.002244026246653782,112
PF02160,0.0019208825613908314,113
PF05379,0.0018804503186774903,114
G3DSA.4.10.60.10,0.001848091845752941,115
PF06358,0.001805574823376742,116
PF03716,0.001776245437435549,117
G3DSA.3.10.10.10,0.001774666820417516,118
PF01524,0.0017608218968537465,119
PF05533,0.0016655947936393839,120
PF13365,0.0013364621966257047,121
G3DSA.3.30.70.2090,0.0011812854519954385,122
G3DSA.2.60.40.3420,0.0011021493188162433,123
PF11757,0.001049319049968684,124
