feature,mean_abs_shap,rank
G3DSA.1.10.1200.170,0.0,1
G3DSA.1.10.1520.10,0.0,2
G3DSA.1.20.120.1590,0.0,3
G3DSA.1.20.120.70,0.0,4
G3DSA.1.20.1440.190,0.0,5
G3DSA.1.20.272.60,0.0,6
G3DSA.1.20.58.1200,0.0,7
G3DSA.1.20.85.20,0.0,8
G3DSA.1.20.960.20,0.0,9
G3DSA.2.40.10.10,0.0,10
G3DSA.2.40.70.10,0.0,11
G3DSA.2.60.110.10,0.0,12
G3DSA.2.60.120.170,0.0,13
G3DSA.2.60.120.20,0.0,14
G3DSA.2.60.120.220,0.0,15
G3DSA.2.60.120.530,0.0,16
G3DSA.2.60.120.590,0.0,17
G3DSA.2.60.34.10,0.0,18
G3DSA.2.60.40.1780,0.0,19
G3DSA.2.60.40.1810,0.0,20
G3DSA.2.60.40.3420,0.0,21
G3DSA.2.60.40.4030,0.0,22
G3DSA.2.70.40.10,0.0,23
G3DSA.3.10.10.10,0.0,24
G3DSA.3.10.20.370,0.0,25
G3DSA.3.30.30.30,0.0,26
G3DSA.3.30.420.40,0.0,27
G3DSA.3.30.505.20,0.0,28
G3DSA.3.30.70.2090,0.0,29
G3DSA.3.30.70.270,0.0,30
G3DSA.3.40.1310.20,0.0,31
G3DSA.3.40.50.150,0.0,32
G3DSA.3.40.50.2000,0.0,33
G3DSA.3.40.50.300,0.0,34
G3DSA.3.40.91.60,0.0,35
G3DSA.3.40.970.10,0.0,36
G3DSA.3.90.226.10,0.0,37
G3DSA.3.90.550.20,0.0,38
G3DSA.3.90.640.10,0.0,39
G3DSA.3.90.70.100,0.0,40
G3DSA.3.90.70.150,0.0,41
G3DSA.3.90.70.80,0.0,42
G3DSA.3.90.950.10,0.0,43
G3DSA.4.10.60.10,0.0,44
PF00012,0.0,45
PF00073,0.0,46
PF00077,0.0,47
PF00078,0.0,48
PF00098,0.0,49
PF00270,0.0,50
PF00271,0.0,51
PF00286,0.0,52
PF00548,0.0,53
PF00680,0.0,54
PF00692,0.0,55
PF00721,0.0,56
PF00729,0.0,57
PF00760,0.0,58
PF00767,0.0,59
PF00799,0.0,60
PF00803,0.0,61
PF00844,0.0,62
PF00845,0.0,63
PF00851,0.0,64
PF00863,0.0,65
PF00894,0.0,66
PF00910,0.0,67
PF00946,0.0,68
PF00978,0.0,69
PF00983,0.0,70
PF00998,0.0,71
PF01107,0.0,72
PF01307,0.0,73
PF01407,0.0,74
PF01440,0.0,75
PF01443,0.0,76
PF01492,0.0,77
PF01524,0.0,78
PF01573,0.0,79
PF01577,0.0,80
PF01623,0.0,81
PF01659,0.0,82
PF01660,0.0,83
PF01690,0.0,84
PF01693,0.0,85
PF01708,0.0,86
PF01725,0.0,87
PF01785,0.0,88
PF01787,0.0,89
PF02122,0.0,90
PF02123,0.0,91
PF02160,0.0,92
PF02247,0.0,93
PF02248,0.0,94
PF02407,0.0,95
PF02495,0.0,96
PF03033,0.0,97
PF03171,0.0,98
PF03216,0.0,99
PF03220,0.0,100
PF03225,0.0,101
PF03231,0.0,102
PF03233,0.0,103
PF03251,0.0,104
PF03300,0.0,105
PF03310,0.0,106
PF03391,0.0,107
PF03557,0.0,108
PF03558,0.0,109
PF03688,0.0,110
PF03689,0.0,111
PF03716,0.0,112
PF04196,0.0,113
PF04521,0.0,114
PF04522,0.0,115
PF04530,0.0,116
PF04660,0.0,117
PF04662,0.0,118
PF04807,0.0,119
PF04817,0.0,120
PF04851,0.0,121
PF04876,0.0,122
PF05310,0.0,123
PF05318,0.0,124
PF05379,0.0,125
PF05381,0.0,126
PF05413,0.0,127
PF05414,0.0,128
PF05415,0.0,129
PF05515,0.0,130
PF05533,0.0,131
PF05549,0.0,132
PF05629,0.0,133
PF05704,0.0,134
PF05733,0.0,135
PF05744,0.0,136
PF05880,0.0,137
PF05892,0.0,138
PF05903,0.0,139
PF06358,0.0,140
PF06370,0.0,141
PF06380,0.0,142
PF06656,0.0,143
PF06692,0.0,144
PF06837,0.0,145
PF06839,0.0,146
PF07028,0.0,147
PF07124,0.0,148
PF07255,0.0,149
PF07325,0.0,150
PF07436,0.0,151
PF07652,0.0,152
PF08283,0.0,153
PF08358,0.0,154
PF08440,0.0,155
PF08456,0.0,156
PF08464,0.0,157
PF08467,0.0,158
PF08500,0.0,159
PF10712,0.0,160
PF11252,0.0,161
PF11479,0.0,162
PF11757,0.0,163
PF12312,0.0,164
PF12467,0.0,165
PF12503,0.0,166
PF12523,0.0,167
PF12603,0.0,168
PF13365,0.0,169
PF13532,0.0,170
PF13608,0.0,171
PF13611,0.0,172
PF14318,0.0,173
PF15518,0.0,174
PF17055,0.0,175
PF17464,0.0,176
PF17493,0.0,177
PF17646,0.0,178
PF17917,0.0,179
PF17919,0.0,180
SSF100920,0.0,181
SSF103145,0.0,182
SSF47195,0.0,183
SSF48345,0.0,184
SSF49818,0.0,185
SSF49870,0.0,186
SSF50494,0.0,187
SSF50630,0.0,188
SSF51197,0.0,189
SSF51283,0.0,190
SSF52096,0.0,191
SSF52540,0.0,192
SSF52972,0.0,193
SSF53067,0.0,194
SSF53448,0.0,195
SSF53756,0.0,196
SSF54001,0.0,197
SSF54423,0.0,198
SSF55464,0.0,199
SSF55658,0.0,200
SSF56672,0.0,201
SSF56831,0.0,202
SSF57756,0.0,203
SSF69065,0.0,204
SSF88633,0.0,205
perc_prot_disorder,0.0,206
proteome_length,0.0,207
