feature,mean_abs_shap,rank
PF04807,1.212213,1
proteome_length,1.0612124,2
perc_prot_disorder,0.9812145,3
G3DSA.3.30.30.30,0.2776348,4
PF01492,0.25781444,5
SSF52540,0.21615857,6
PF03225,0.1863263,7
PF03716,0.17654848,8
PF13611,0.17487907,9
G3DSA.2.40.10.10,0.17165352,10
PF13608,0.17162189,11
G3DSA.3.90.70.150,0.16007552,12
PF08464,0.13795708,13
PF00844,0.127944,14
PF01107,0.1228272,15
G3DSA.2.60.120.20,0.119630404,16
PF01660,0.106864735,17
PF01524,0.07860487,18
PF17919,0.0766039,19
G3DSA.3.40.50.300,0.074779764,20
PF05515,0.0738574,21
PF00851,0.07259592,22
PF05318,0.0718945,23
SSF51197,0.070989,24
PF00286,0.05867673,25
PF02160,0.057110924,26
PF01407,0.056826234,27
SSF88633,0.054804716,28
PF00729,0.036834963,29
G3DSA.2.60.120.590,0.035920016,30
PF00271,0.03367983,31
PF00978,0.030395212,32
G3DSA.3.30.70.270,0.03033215,33
PF12523,0.029192735,34
PF13532,0.027984137,35
PF01785,0.027440054,36
G3DSA.4.10.60.10,0.026946409,37
PF00983,0.024517862,38
PF01443,0.024036966,39
SSF100920,0.02364563,40
PF00803,0.023397965,41
PF11757,0.023164675,42
PF08358,0.020381393,43
PF00799,0.020000365,44
PF02495,0.019937862,45
PF01577,0.019121215,46
PF05379,0.015205642,47
PF01307,0.014959468,48
PF00845,0.013527666,49
PF00721,0.012621008,50
PF01573,0.011606888,51
PF00998,0.0114410315,52
G3DSA.3.40.1310.20,0.011192437,53
PF00767,0.008053085,54
PF00680,0.0075210985,55
PF01623,0.0074418588,56
G3DSA.3.10.10.10,0.0073350994,57
PF17917,0.0066981786,58
PF00910,0.004893944,59
SSF50494,0.0043435665,60
PF05533,0.0041307444,61
G3DSA.3.90.950.10,0.0041129314,62
PF01787,0.0038368944,63
PF05381,0.0037675404,64
SSF56672,0.0034944024,65
PF00270,0.0033940452,66
PF00077,0.0032879773,67
PF00078,0.0022790383,68
G3DSA.3.90.640.10,0.002085594,69
G3DSA.3.90.70.100,0.0014568582,70
PF05892,0.0014069172,71
G3DSA.3.30.420.40,0.0011732788,72
G3DSA.1.10.1520.10,0.0011246646,73
PF17646,0.0010827809,74
PF05549,0.00065130065,75
PF08283,0.00017050201,76
G3DSA.1.10.1200.170,0.0,77
G3DSA.1.20.1440.190,0.0,78
G3DSA.1.20.120.70,0.0,79
PF01440,0.0,80
PF00863,0.0,81
PF00894,0.0,82
PF00946,0.0,83
PF00692,0.0,84
PF00548,0.0,85
PF00098,0.0,86
PF00760,0.0,87
G3DSA.3.90.550.20,0.0,88
G3DSA.3.90.226.10,0.0,89
