feature,mean_abs_shap,rank
proteome_length,0.91131365,1
perc_prot_disorder,0.7084655,2
G3DSA.3.40.1310.20,0.6591593,3
SSF50494,0.40461704,4
G3DSA.2.40.10.10,0.28154764,5
G3DSA.3.30.70.2090,0.18001895,6
PF13608,0.14985873,7
PF08358,0.13411383,8
SSF52540,0.121661805,9
PF00799,0.09709044,10
PF00998,0.09490305,11
SSF50630,0.09260417,12
PF17646,0.08772677,13
PF00894,0.08686849,14
SSF56672,0.08044305,15
PF00910,0.07999847,16
PF17917,0.07344636,17
PF01443,0.070705384,18
G3DSA.2.60.120.20,0.05924889,19
PF01623,0.051014684,20
G3DSA.2.60.120.590,0.050629172,21
PF00286,0.048472676,22
PF11757,0.046487037,23
PF00978,0.046184067,24
PF00721,0.04523911,25
PF01107,0.04502669,26
PF00270,0.044833627,27
PF01573,0.043683294,28
G3DSA.3.40.50.300,0.04004147,29
SSF88633,0.03644149,30
SSF47195,0.03474756,31
PF07028,0.03160057,32
G3DSA.3.90.70.150,0.02666503,33
PF01693,0.026451983,34
PF00803,0.023431983,35
PF05892,0.022987729,36
G3DSA.4.10.60.10,0.022769777,37
PF03225,0.021366214,38
G3DSA.1.20.960.20,0.020881023,39
PF00946,0.020714741,40
G3DSA.3.90.70.100,0.020332525,41
PF04817,0.019638686,42
PF02407,0.01956198,43
G3DSA.2.60.120.530,0.018434837,44
PF03233,0.018285785,45
PF00729,0.018077955,46
PF00098,0.017213168,47
PF01577,0.015510036,48
PF07652,0.014993285,49
PF00548,0.013796486,50
PF00271,0.0136019,51
PF01690,0.013460121,52
PF01787,0.010874902,53
PF13611,0.010159766,54
PF02495,0.009873068,55
PF02122,0.009732933,56
PF03391,0.0094795935,57
PF03310,0.009434257,58
G3DSA.3.30.70.270,0.009212079,59
PF08500,0.008713932,60
PF00767,0.00826798,61
G3DSA.3.10.20.370,0.0077589555,62
G3DSA.1.20.120.1590,0.006927469,63
PF00680,0.006890541,64
PF05515,0.005954768,65
SSF100920,0.0057081194,66
SSF51197,0.0055797435,67
PF05318,0.0053635333,68
PF00851,0.0048566726,69
PF01307,0.004276836,70
PF02123,0.0033865375,71
PF04660,0.0030324226,72
PF08440,0.0030301323,73
PF01659,0.0029132103,74
G3DSA.2.40.70.10,0.0029031674,75
PF03251,0.002712812,76
PF00077,0.002614525,77
PF03689,0.0025829843,78
PF03688,0.0023204186,79
PF01660,0.0022826854,80
PF14318,0.0022414653,81
PF05379,0.0020217763,82
PF05533,0.0019830316,83
G3DSA.3.10.10.10,0.001926094,84
PF13532,0.0017931993,85
PF03216,0.001653904,86
G3DSA.2.60.40.3420,0.0014213956,87
PF03558,0.0013004369,88
PF00760,0.0012867339,89
PF01785,0.0012651045,90
G3DSA.3.30.30.30,0.0012501144,91
PF05381,0.0010741553,92
PF05549,0.0010068935,93
SSF57756,0.00085106964,94
PF04662,0.0008419141,95
PF02160,0.0005197821,96
PF02248,0.0004409461,97
G3DSA.3.40.970.10,0.00032922396,98
PF01524,0.0,99
PF00863,0.0,100
PF01492,0.0,101
PF01407,0.0,102
PF01440,0.0,103
G3DSA.3.90.640.10,0.0,104
G3DSA.3.90.550.20,0.0,105
PF00073,0.0,106
G3DSA.1.20.120.70,0.0,107
G3DSA.1.20.85.20,0.0,108
G3DSA.2.60.110.10,0.0,109
G3DSA.2.60.120.170,0.0,110
G3DSA.2.60.120.220,0.0,111
G3DSA.1.20.58.1200,0.0,112
G3DSA.1.20.272.60,0.0,113
G3DSA.1.20.1440.190,0.0,114
G3DSA.1.10.1520.10,0.0,115
G3DSA.1.10.1200.170,0.0,116
PF00983,0.0,117
PF00844,0.0,118
PF00845,0.0,119
PF00692,0.0,120
PF00078,0.0,121
G3DSA.3.90.226.10,0.0,122
G3DSA.3.40.91.60,0.0,123
G3DSA.3.90.950.10,0.0,124
G3DSA.3.90.70.80,0.0,125
PF00012,0.0,126
G3DSA.2.70.40.10,0.0,127
G3DSA.3.30.505.20,0.0,128
G3DSA.3.30.420.40,0.0,129
G3DSA.2.60.40.4030,0.0,130
G3DSA.2.60.34.10,0.0,131
G3DSA.2.60.40.1780,0.0,132
G3DSA.2.60.40.1810,0.0,133
G3DSA.3.40.50.2000,0.0,134
G3DSA.3.40.50.150,0.0,135
PF01708,0.0,136
PF03557,0.0,137
PF03220,0.0,138
PF03231,0.0,139
PF03171,0.0,140
PF03033,0.0,141
PF01725,0.0,142
PF02247,0.0,143
PF06656,0.0,144
PF06380,0.0,145
PF06370,0.0,146
PF06358,0.0,147
PF05903,0.0,148
PF05880,0.0,149
PF05744,0.0,150
PF05733,0.0,151
PF05415,0.0,152
PF05704,0.0,153
PF05629,0.0,154
PF05414,0.0,155
PF05310,0.0,156
PF04876,0.0,157
PF04851,0.0,158
PF05413,0.0,159
PF04196,0.0,160
PF03716,0.0,161
PF04530,0.0,162
PF04807,0.0,163
PF04522,0.0,164
PF04521,0.0,165
PF03300,0.0,166
PF08456,0.0,167
PF08467,0.0,168
PF08464,0.0,169
PF07255,0.0,170
PF07325,0.0,171
PF07436,0.0,172
PF06692,0.0,173
PF06837,0.0,174
PF06839,0.0,175
PF17055,0.0,176
PF15518,0.0,177
PF13365,0.0,178
PF12603,0.0,179
PF12312,0.0,180
PF12467,0.0,181
PF12503,0.0,182
PF12523,0.0,183
PF11479,0.0,184
PF11252,0.0,185
PF10712,0.0,186
PF07124,0.0,187
PF08283,0.0,188
PF17919,0.0,189
SSF103145,0.0,190
PF17464,0.0,191
SSF52096,0.0,192
SSF51283,0.0,193
SSF49818,0.0,194
SSF49870,0.0,195
SSF48345,0.0,196
PF17493,0.0,197
SSF53067,0.0,198
SSF52972,0.0,199
SSF55464,0.0,200
SSF54423,0.0,201
SSF54001,0.0,202
SSF53756,0.0,203
SSF53448,0.0,204
SSF55658,0.0,205
SSF56831,0.0,206
SSF69065,0.0,207
